Date,Ticker,Open,High,Low,Close,Volume
2023-01-02,AAPL,150.23,151.0,149.94,150.85,90633683
2023-01-02,AMZN,142.11,142.8,141.27,142.39,42851717
2023-01-02,GOOGL,129.36,129.81,129.03,129.29,57989397
2023-01-02,MSFT,333.18,333.35,330.9,331.94,46054264
2023-01-02,TSLA,220.38,220.52,219.75,220.22,95378367
2023-01-03,AAPL,153.78,154.43,151.82,152.79,117450555
2023-01-03,AMZN,143.11,143.69,142.94,143.04,37853501
2023-01-03,GOOGL,130.53,131.39,129.36,129.87,53530930
2023-01-03,MSFT,339.55,341.33,338.65,339.63,38305786
2023-01-03,TSLA,224.13,225.94,223.79,224.82,91423938
2023-01-04,AAPL,152.98,153.64,151.32,153.62,41400297
2023-01-04,AMZN,143.92,144.08,142.61,143.09,84441963
2023-01-04,GOOGL,130.76,132.86,129.4,131.12,23326033
2023-01-04,MSFT,330.24,331.56,329.54,330.7,84884299
2023-01-04,TSLA,228.37,229.48,227.97,229.07,31721719
2023-01-05,AAPL,150.21,151.28,148.07,150.69,38991982
2023-01-05,AMZN,144.43,144.77,143.78,144.24,63372993
2023-01-05,GOOGL,129.37,129.85,127.98,129.27,77629903
2023-01-05,MSFT,339.03,340.63,336.87,339.23,82643186
2023-01-05,TSLA,226.86,228.03,225.99,227.43,44445907
2023-01-06,AAPL,152.27,154.78,151.24,152.82,125594701
2023-01-06,AMZN,140.81,141.91,139.99,141.44,129123958
2023-01-06,GOOGL,131.42,132.29,129.64,130.83,40108394
2023-01-06,MSFT,340.75,342.06,338.87,339.16,78339777
2023-01-06,TSLA,226.77,227.41,226.48,226.53,107179198
2023-01-09,AAPL,154.43,155.29,153.02,153.92,84926355
2023-01-09,AMZN,144.23,145.09,143.4,143.86,129039683
2023-01-09,GOOGL,131.82,132.97,131.32,131.39,80368708
2023-01-09,MSFT,336.52,337.59,333.38,335.26,97398147
2023-01-09,TSLA,225.05,225.22,224.68,224.85,94947464
