Date,Ticker,Open,High,Low,Close,Volume
2021-08-12,AAPL,148.71,152.11,144.62,148.0,81403916
2021-08-12,AMZN,140.59,148.77,136.93,145.0,43040826
2021-08-12,GOOGL,140.83,144.4,134.51,138.0,23159690
2021-08-12,MSFT,307.99,313.5,299.54,305.0,23991610
2021-08-12,TSLA,258.6,270.5,248.16,260.0,105871183
2021-08-13,AAPL,146.51,151.38,142.87,147.71,51269701
2021-08-13,AMZN,149.12,152.67,144.76,148.29,40949614
2021-08-13,GOOGL,138.97,141.0,135.79,137.8,28441343
2021-08-13,MSFT,297.96,308.78,291.15,301.88,29020726
2021-08-13,TSLA,272.35,279.28,262.01,268.85,82113822
2021-08-16,AAPL,149.57,152.79,146.31,149.53,40640990
2021-08-16,AMZN,148.16,151.67,142.71,146.18,45228932
2021-08-16,GOOGL,140.28,141.51,138.55,139.77,26924023
2021-08-16,MSFT,312.76,318.99,306.57,312.79,35648392
2021-08-16,TSLA,266.38,276.16,255.18,264.9,97380349
2021-08-17,AAPL,153.71,155.55,151.89,153.72,63507522
2021-08-17,AMZN,142.54,149.27,139.42,146.08,48020136
2021-08-17,GOOGL,140.88,144.13,136.86,140.1,23896289
2021-08-17,MSFT,317.31,323.19,308.82,314.66,28133239
2021-08-17,TSLA,266.31,275.38,258.32,267.36,105501299
2021-08-18,AAPL,154.48,157.1,150.4,152.99,63579175
2021-08-18,AMZN,151.65,156.03,147.93,152.3,15836878
2021-08-18,GOOGL,135.69,143.98,132.0,140.17,22687848
2021-08-18,MSFT,312.12,317.94,307.27,313.08,25476553
2021-08-18,TSLA,264.45,273.4,258.61,267.49,99837372
2021-08-19,AAPL,152.93,155.68,149.55,152.28,73910193
2021-08-19,AMZN,145.83,151.48,142.81,148.4,35287924
2021-08-19,GOOGL,139.44,142.9,136.36,139.8,26968188
2021-08-19,MSFT,317.64,324.13,308.02,314.45,18177102
2021-08-19,TSLA,264.46,272.3,255.2,263.0,105899800
2021-08-20,AAPL,156.6,159.96,153.27,156.63,80430911
2021-08-20,AMZN,142.54,146.04,139.03,142.52,39109699
2021-08-20,GOOGL,141.62,144.16,140.05,142.58,26235721
